id;predict
196;0
1196;0
2813;0
4385;0
6479;0
6726;1
9178;0
13143;0
13547;0
18483;0
21939;1
22367;0
24652;1
26235;0
26923;0
27565;0
28085;0
29016;0
29405;1
30403;0
30467;1
30916;0
30919;0
31002;0
31266;0
31313;0
31624;0
31766;0
32056;1
34295;0
34521;1
34777;0
38972;0
40009;0
40535;0
42198;0
43460;0
45876;1
47190;0
47192;0
49278;0
50808;1
52800;0
53466;1
54481;0
54913;0
55905;0
57994;1
62713;0
64952;1
69506;0
69617;0
70012;0
70255;0
70259;0
76061;0
76873;0
78043;1
78731;0
79306;0
80719;0
83179;1
85779;0
85906;0
89146;0
89155;0
90162;0
92204;0
92535;0
92944;1
93892;0
95482;0
95776;0
95842;1
97272;0
98373;0
98833;0
98836;0
100485;0
105072;0
108281;0
109220;0
109365;0
112392;1
112977;0
113120;1
113356;0
114972;0
116627;1
117125;0
117399;0
117569;0
117987;0
119786;1
121485;0
125297;0
125400;0
126723;0
126724;0
126967;0
128204;0
131839;1
134356;0
135321;0
137343;0
137362;1
139017;0
139743;0
144098;1
146497;1
152214;0
152597;1
153168;0
153685;0
157209;0
158854;0
159784;1
161205;0
162494;0
165048;0
165984;0
169020;0
169201;1
169817;0
169826;0
170266;0
170872;0
171255;0
173652;0
174577;0
174718;0
174839;0
176718;1
177381;0
180092;0
182821;1
183852;0
184827;0
184938;0
185211;0
188227;1
188270;0
190028;0
192212;0
193157;0
199885;0
200841;1
201539;1
202429;0
202533;0
203061;0
204226;0
209914;0
210320;0
211271;1
212354;0
214703;1
218266;0
221272;0
221651;0
222139;0
222630;0
222803;0
224226;0
225013;0
226665;0
227266;0
227799;0
233057;0
234428;0
236286;1
239686;0
240422;0
240489;0
244252;1
247938;0
248391;0
248523;1
251897;0
252117;0
253723;1
255669;0
255780;0
255895;0
256100;0
256511;0
256566;0
259029;0
260063;1
260260;0
260740;0
262317;0
263728;0
264010;1
264052;0
265577;0
266648;0
266849;0
267566;0
271584;0
