oktmo;date;pasta;legumes;bread;flour;rice;groats;potatoes;сucumbers_tomatoes;vegetables;roots;сabbage;fruit;sugar;candy;biscuits;mutton;beef;chicken;pork;fish;herring;curd;sour_creame;butter;milk_kefir;cheese;egg;margarine;oil;salt;spice;tea;cpi_1;cpi_2;cpi_3;pasta_value;legumes_value;bread_value;flour_value;rice_value;groats_value;potatoes_value;сucumbers_tomatoes_value;vegetables_value;roots_value;сabbage_value;fruit_value;sugar_value;candy_value;biscuits_value;mutton_value;beef_value;chicken_value;pork_value;fish_value;herring_value;curd_value;sour_creame_value;butter_value;milk_kefir_value;cheese_value;egg_value;margarine_value;oil_value;salt_value;spice_value;tea_value;ai92;ai95;ai98;dt;ai92_value;ai95_value;ai98_value;dt_value
38000000000;01.01.2019;68,19;86,1;57,77;34,45;67,65;42,1;19,85;153,4;29,57;33,05;32,21;71,9;40,05;429,99;185,02;0;0;135,76;293,84;397,95;172,38;246,73;186,93;501,13;50,99;455,15;7,04;103,44;90,83;13,07;39,19;73,39;4 746,07;4 068,13;4 754,33;3 819,45;657,91;18 001,72;1 558,65;1 036,82;2 660,46;3 477,32;1 578,47;2 338,65;1 680,58;1 900,75;13 481,00;4 584,20;3 066,26;1 772,02;0;0;7 940,85;902,57;126,3;392,16;1 592,06;1 159,84;619,96;27 182,75;1 239,81;45 122,00;45,31;2 282,10;1 131,65;4 835,17;6 195,05;41,25;44,59;50,28;45,97;165 569,84;69 960,38;126,64;21 042,35
38000000000;02.01.2019;70,23;88,49;56,98;33,99;63,16;38,33;19,44;151,25;28,61;35,18;32,04;71,2;42,44;356,55;188,06;0;347,96;132,71;277,96;320,15;140,71;245,88;182,92;491,9;51,33;439,23;7,13;104,82;86,98;12,68;36,7;71,45;4 710,92;4 042,88;4 721,81;15 585,20;1 942,84;68 460,63;5 601,34;3 306,36;7 964,29;9 604,90;5 106,10;6 866,28;5 809,08;7 264,20;33 684,30;12 884,76;5 793,19;4 893,18;0;158,17;25 137,92;3 350,41;279,97;1 445,54;4 408,67;3 435,26;1 982,51;68 317,18;3 765,92;136 753,90;188,79;6 856,12;4 828,39;13 581,43;14 557,41;41,26;44,58;50,26;45,92;268 048,78;120 235,93;438,2;40 663,89
38000000000;03.01.2019;67,18;89,25;58,43;31,93;65,37;37,74;19,3;149,96;29,04;35,48;32,36;70,7;42,54;281,36;158,33;0;311,47;129,26;261,04;346,47;140,5;245,51;179,92;481,65;48,86;433,11;7,45;104,13;81,1;12,38;35,37;68,74;4 649,61;3 981,73;4 646,11;14 159,35;2 569,44;82 771,23;8 585,71;4 353,76;9 785,26;12 045,97;6 255,59;8 482,30;7 278,45;9 679,08;39 705,10;15 712,07;7 684,05;7 166,60;0;267,14;34 375,78;5 298,99;344,71;2 290,63;5 528,92;5 007,90;2 749,50;90 606,12;4 716,44;156 935,00;284,21;10 434,31;6 105,83;17 733,21;16 940,39;41,25;44,52;50,07;45,8;297 175,84;134 154,73;343,77;55 084,19
38000000000;04.01.2019;67,28;85,31;55,64;32,01;61,28;39,21;19,68;153,47;28,54;34,63;32,28;71,1;42,84;256,02;157,61;0;284,07;132,69;254,41;338,31;131,76;241,88;180,59;476,49;48,39;427,25;7,14;100,6;81,27;11,72;36,61;67,34;4 550,45;3 896,58;4 563,71;17 023,17;3 528,86;89 743,24;11 029,98;6 007,26;12 223,87;14 045,18;9 400,25;11 009,77;8 697,50;12 555,93;45 078,00;18 878,05;9 678,85;7 645,99;0;517,29;47 860,66;8 656,08;424,64;3 369,47;6 981,37;5 892,37;3 352,21;105 004,70;6 010,63;244 001,25;392,18;13 908,18;7 550,26;24 198,69;20 901,91;41,35;44,7;49,75;46;315 657,28;141 724,34;550,59;62 309,37
38000000000;05.01.2019;67,85;90,58;58,01;32,09;64,97;38,65;19,95;158,15;28,79;33,87;32,51;71,5;42,51;263,62;153,67;0;294,42;138,84;256,76;402,26;131,31;242,61;179,24;481,26;48,21;428,58;7,1;103,19;77,41;11,92;37,42;69,08;4 709,19;4 031,15;4 710,07;17 825,73;3 879,02;92 113,81;13 019,60;6 519,07;12 494,10;14 963,52;11 788,90;13 147,65;10 101,95;13 089,78;50 287,90;21 496,59;9 516,71;9 650,89;0;519,1;54 791,06;10 840,57;493,34;3 757,55;7 339,07;7 696,36;3 900,80;117 036,05;7 195,80;314 205,75;516,03;14 967,14;6 887,20;26 159,17;20 038,10;41,51;45;50;46,52;323 213,50;143 531,02;270,2;59 668,71
38000000000;06.01.2019;69,19;97,65;58,78;32,48;65,65;38,83;20,2;163,77;29,43;34,26;34,68;72,3;42,99;262,06;173,74;0;328,24;144,64;274,38;350,49;131,35;245,77;182,85;487,02;49,24;433,95;7,3;103,33;78,91;13;36,21;67,11;4 767,71;4 084,97;4 761,04;15 751,23;4 167,16;97 127,97;13 950,77;6 680,23;11 815,90;16 945,03;14 941,12;14 765,38;11 181,69;12 214,96;52 782,40;20 599,08;12 688,13;7 530,01;0;501,29;57 342,29;9 337,50;368,53;4 249,74;5 973,62;6 687,69;3 884,87;94 303,70;8 223,72;299 353,00;432,6;15 775,30;7 754,14;27 475,78;19 244,04;41,48;45,05;49,76;46,5;321 896,75;144 488,06;272,21;55 329,02
38000000000;07.01.2019;68,87;88,54;55,36;32,03;62,66;38,74;20,31;162,23;29,6;34,31;35,03;74,1;41,4;319,92;178,34;0;334,7;144,17;274,25;331,02;135,29;242,87;183;486,25;50,02;422,26;7,28;101,11;76,82;12,75;34,68;66,45;4 712,68;4 042,85;4 741,26;14 214,41;2 853,07;80 190,73;9 030,54;4 953,19;9 820,57;14 106,69;10 002,45;10 467,72;7 337,46;9 553,88;38 792,10;19 816,43;6 776,00;5 819,97;0;370,24;37 158,62;5 168,06;346,43;2 113,17;5 303,15;4 453,79;2 903,84;84 636,41;5 722,96;224 395,00;276,3;11 728,26;5 909,72;18 455,01;16 618,92;41,59;45,07;50,13;46,62;282 305,03;131 094,88;70,41;48 196,36
38000000000;08.01.2019;69,74;78,95;57,06;32,01;67,55;38;20,36;161,48;29,58;33,72;35,44;74,6;41,54;274,75;147;0;265,7;138,54;261,77;368,55;132,43;244,03;182,69;492,38;49,13;417,64;7,32;103,46;75,1;12,53;35,61;67,29;4 651,17;3 980,67;4 675,44;17 272,94;3 458,20;88 179,51;10 683,98;6 308,88;11 980,32;14 932,44;7 722,13;12 597,74;10 114,81;12 462,36;40 977,30;27 339,73;7 370,53;8 403,87;0;442,15;42 284,84;5 771,44;240,6;3 220,77;6 834,08;6 011,78;3 286,19;106 000,89;5 899,14;238 869,00;306,02;14 342,93;6 326,54;21 448,62;20 167,65;41,57;45,08;49,74;46,59;333 871,81;147 756,64;422,64;68 308,96
38000000000;09.01.2019;69,07;78,72;55,53;32,39;60,48;38,14;21,02;165,23;29,72;32,81;35,3;74,1;42,25;236,84;135,38;0;307,34;133,37;256,56;305,17;142,23;244,2;179,4;471,55;48,3;407,73;6,95;102,29;75,99;11,89;36,28;63,75;4 552,65;3 897,73;4 578,83;17 060,13;3 442,98;92 430,85;10 403,79;6 296,30;12 281,70;14 026,55;8 492,44;11 573,56;10 718,80;12 005,52;43 055,00;22 728,47;10 477,99;11 488,54;0;375,84;50 190,81;6 921,44;343,24;3 432,13;7 183,62;6 392,18;3 434,47;103 706,22;5 978,78;284 418,19;343,79;14 948,48;7 343,85;23 125,99;20 860,45;41,73;45,17;50;46,58;319 265,84;121 160,00;423,1;74 451,07
38000000000;10.01.2019;67,09;84,28;56,21;32,81;65,3;38,93;20,57;161,53;30,14;34,07;34,74;75,4;42,27;240,14;154,66;0;299,02;139,42;252,05;306,24;130,18;243,78;179,82;473,37;48,55;411,75;6,95;104,16;73,29;11,85;33,22;66,12;4 573,54;3 914,34;4 604,64;20 339,32;4 278,51;86 025,29;10 928,95;7 270,10;13 583,44;15 938,04;10 730,18;13 738,98;12 146,20;13 447,89;49 259,40;25 715,81;13 381,87;10 098,28;0;430,21;52 233,47;8 624,64;351,72;3 445,11;8 569,86;7 123,26;3 757,97;109 337,60;6 651,95;326 879,53;358,56;17 089,98;8 021,36;26 550,29;23 693,14;41,6;45,06;49,99;46,48;340 381,63;127 983,28;281,7;78 140,04
